"Record_number","Study_midyear","Latitude","Longitude","Site.x","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Site.y"
2214,2005.25,10.44,-84,"10.25 -83.75",26.45,27.3666666666667,26.8,26.2,26.9,26.5666666666667,26.75,26.6166666666667,26.8666666666667,26.925,26.75,27.2333333333333,27.4083333333333,26.2416666666667,26.5166666666667,27.2166666666667,27.6166666666667,27.7833333333333,27.2166666666667,27.05,27.375,27.3416666666667,27.0666666666667,27.45,27.2666666666667,27.0833333333333,27.3666666666667,27.5,27.5083333333333,27.7583333333333,27.625,27.4583333333333,"10.25 -83.75"
2215,2005.25,10.44,-84,"10.25 -83.75",26.45,27.3666666666667,26.8,26.2,26.9,26.5666666666667,26.75,26.6166666666667,26.8666666666667,26.925,26.75,27.2333333333333,27.4083333333333,26.2416666666667,26.5166666666667,27.2166666666667,27.6166666666667,27.7833333333333,27.2166666666667,27.05,27.375,27.3416666666667,27.0666666666667,27.45,27.2666666666667,27.0833333333333,27.3666666666667,27.5,27.5083333333333,27.7583333333333,27.625,27.4583333333333,"10.25 -83.75"
2216,2005.25,10.44,-84,"10.25 -83.75",26.45,27.3666666666667,26.8,26.2,26.9,26.5666666666667,26.75,26.6166666666667,26.8666666666667,26.925,26.75,27.2333333333333,27.4083333333333,26.2416666666667,26.5166666666667,27.2166666666667,27.6166666666667,27.7833333333333,27.2166666666667,27.05,27.375,27.3416666666667,27.0666666666667,27.45,27.2666666666667,27.0833333333333,27.3666666666667,27.5,27.5083333333333,27.7583333333333,27.625,27.4583333333333,"10.25 -83.75"
2217,2005.25,10.44,-84,"10.25 -83.75",26.45,27.3666666666667,26.8,26.2,26.9,26.5666666666667,26.75,26.6166666666667,26.8666666666667,26.925,26.75,27.2333333333333,27.4083333333333,26.2416666666667,26.5166666666667,27.2166666666667,27.6166666666667,27.7833333333333,27.2166666666667,27.05,27.375,27.3416666666667,27.0666666666667,27.45,27.2666666666667,27.0833333333333,27.3666666666667,27.5,27.5083333333333,27.7583333333333,27.625,27.4583333333333,"10.25 -83.75"
2218,2005.25,10.44,-84,"10.25 -83.75",26.45,27.3666666666667,26.8,26.2,26.9,26.5666666666667,26.75,26.6166666666667,26.8666666666667,26.925,26.75,27.2333333333333,27.4083333333333,26.2416666666667,26.5166666666667,27.2166666666667,27.6166666666667,27.7833333333333,27.2166666666667,27.05,27.375,27.3416666666667,27.0666666666667,27.45,27.2666666666667,27.0833333333333,27.3666666666667,27.5,27.5083333333333,27.7583333333333,27.625,27.4583333333333,"10.25 -83.75"
2234,2001.5,36.32,140.15,"36.25 140.25",12.8166666666667,14.1583333333333,13.575,14.325,15.1166666666667,13.9083333333333,13.5083333333333,12.925,14.0833333333333,13.4833333333333,13,13.8666666666667,13.9833333333333,14.375,14.0333333333333,13.625,13.9166666666667,13.2833333333333,14.5333333333333,13.2666666666667,13.8083333333333,14.2833333333333,13.6833333333333,13.9583333333333,14.3166666666667,13.9333333333333,13.7083333333333,14.2666666666667,14.1,14.75,14.7583333333333,14.075,"36.25 140.25"
2259,1999,36.13,137.42,"36.25 137.25",9.575,10.7,9.63333333333333,10.5583333333333,11.225,9.93333333333333,9.825,9.36666666666667,10.4833333333333,9.39166666666667,9.34166666666667,9.925,11.0833333333333,10.4916666666667,10.3166666666667,10.0583333333333,10.3583333333333,10.0583333333333,10.9083333333333,9.91666666666667,10.0916666666667,10.55,10.25,10.3166666666667,10.6416666666667,10.0583333333333,9.90833333333333,10.3,9.83333333333333,10.6916666666667,11.1583333333333,9.95833333333333,"36.25 137.25"
2260,2000,36.13,137.42,"36.25 137.25",9.575,10.7,9.63333333333333,10.5583333333333,11.225,9.93333333333333,9.825,9.36666666666667,10.4833333333333,9.39166666666667,9.34166666666667,9.925,11.0833333333333,10.4916666666667,10.3166666666667,10.0583333333333,10.3583333333333,10.0583333333333,10.9083333333333,9.91666666666667,10.0916666666667,10.55,10.25,10.3166666666667,10.6416666666667,10.0583333333333,9.90833333333333,10.3,9.83333333333333,10.6916666666667,11.1583333333333,9.95833333333333,"36.25 137.25"
2261,2001,36.13,137.42,"36.25 137.25",9.575,10.7,9.63333333333333,10.5583333333333,11.225,9.93333333333333,9.825,9.36666666666667,10.4833333333333,9.39166666666667,9.34166666666667,9.925,11.0833333333333,10.4916666666667,10.3166666666667,10.0583333333333,10.3583333333333,10.0583333333333,10.9083333333333,9.91666666666667,10.0916666666667,10.55,10.25,10.3166666666667,10.6416666666667,10.0583333333333,9.90833333333333,10.3,9.83333333333333,10.6916666666667,11.1583333333333,9.95833333333333,"36.25 137.25"
2262,2002,36.13,137.42,"36.25 137.25",9.575,10.7,9.63333333333333,10.5583333333333,11.225,9.93333333333333,9.825,9.36666666666667,10.4833333333333,9.39166666666667,9.34166666666667,9.925,11.0833333333333,10.4916666666667,10.3166666666667,10.0583333333333,10.3583333333333,10.0583333333333,10.9083333333333,9.91666666666667,10.0916666666667,10.55,10.25,10.3166666666667,10.6416666666667,10.0583333333333,9.90833333333333,10.3,9.83333333333333,10.6916666666667,11.1583333333333,9.95833333333333,"36.25 137.25"
